Title,Authors,DOI,DOI link,Venue,Citation count,Year,Study Design,"Reasoning for ""Study Design""",Animal Population and Model Induction,"Reasoning for ""Animal Population and Model Induction""","Experimental Interventions ","Reasoning for ""Experimental Interventions """,Outcomes (Primary and Secondary),"Reasoning for ""Outcomes (Primary and Secondary)""",Control Interventions,"Reasoning for ""Control Interventions""",Primary Research Type,"Reasoning for ""Primary Research Type""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Reviewing the ketamine model for schizophrenia,"J. Frohlich, J. V. Van Horn",10.1177/0269881113512909,https://doi.org/10.1177/0269881113512909,Journal of Psychopharmacology,279,2014,no,"The paper appears to be a review paper rather than an experimental study, as indicated by the use of language like ""herein reviewed"" in the abstract and the focus on discussing evidence and hypotheses rather than presenting original experimental results.",no,"The abstract discusses NMDA antagonist models of psychosis (ketamine and PCP), but it does not present original animal research. It appears to be reviewing existing knowledge about these models rather than conducting new experiments.",no,"The paper does not investigate TAAR1 agonists at all. While it discusses NMDA antagonists, these are actually listed as exclusion criteria in the screening requirements as they are psychotomimetic compounds used to induce psychosis-like features.",no,"While the abstract mentions relevant domains (positive, negative, and cognitive symptoms), it does not present original measurements of the specified primary outcomes (locomotor activity and PPI) or secondary outcomes.",no,"The abstract does not mention any control groups or experimental comparisons, as this is not an experimental study.",no,This is clearly a review/theoretical paper discussing the glutamate hypothesis of schizophrenia and ketamine as a model system. It is not an original experimental study.,Exclude,"This review paper does not meet the systematic review's screening criteria, as it lacks original experimental research, does not investigate TAAR1 agonists, and fails to present primary or secondary outcomes in an animal model of psychosis. The manuscript is a theoretical discussion of the glutamate hypothesis of schizophrenia, which fundamentally differs from the required experimental research design specified in the screening protocol.",0.1
Discovery of β-Arrestin–Biased Dopamine D2 Ligands for Probing Signal Transduction Pathways Essential for Antipsychotic Efficacy,"John A. Allen, J. Yost, V. Setola, Xin Chen, M. F. Sassano, Meng Chen, S. Peterson, P. Yadav, Xi-Ping Huang, Bo Feng, Niels H. Jensen, Xin Che, X. Bai, S. Frye, W. Wetsel, M. Caron, J. Javitch, B. Roth, Jian Jin",10.1073/pnas.1104807108,https://doi.org/10.1073/pnas.1104807108,Proceedings of the National Academy of Sciences of the United States of America,337,2011,maybe,"The study includes in vivo controlled experiments in mice, as evidenced by the behavioral testing and comparison between wild-type and knockout mice.",no,"The abstract does not explicitly mention inducing psychosis-like features through standard methods (e.g., psychostimulants or NMDA antagonists). Instead, the study focuses on testing novel compounds for antipsychotic-like activity, creating significant uncertainty about whether it meets this criterion.",no,"The study investigates novel D2R ligands (UNC9975, UNC0006, UNC9994) that are β-arrestin-biased, which are not explicitly described as TAAR1 agonists. The mechanism of action appears to be primarily through dopamine D2 receptor signaling, rather than TAAR1 agonism.",maybe,"The abstract mentions some relevant outcomes, such as motoric effects (related to locomotor activity) and antipsychotic-like activity, but it doesn't specifically mention PPI or many of the secondary outcomes.",maybe,"The study includes genetic controls (β-arrestin-2 knockout mice) and appears to have vehicle controls (implied by the comparative behavioral studies), but it's unclear if these animals were subjected to a psychosis model as required.",yes,This is clearly an original experimental study using animal models.,Include,"The study investigates novel D2R ligands in mice, exploring their potential antipsychotic properties through β-arrestin signaling, but fails to meet critical screening criteria such as standard psychosis model induction and TAAR1 agonist intervention. While the research includes in vivo controlled experiments and examines behavioral outcomes, significant methodological gaps prevent alignment with the systematic review's specific screening requirements.",2.5
The cannabinoid receptor 1 associates with NMDA receptors to produce glutamatergic hypofunction: implications in psychosis and schizophrenia,"P. Sánchez-Blázquez, María F. Rodríguez-Muñoz, J. Garzón",10.3389/fphar.2013.00169,https://doi.org/10.3389/fphar.2013.00169,Frontiers in Pharmacology,116,2014,no,"The paper is a review rather than an in vivo controlled experiment, as explicitly stated in the abstract's purpose.",no,The abstract discusses cannabinoid and NMDAR systems generally but does not describe specific animal experiments or psychosis model inductions. It mentions observations in humans but does not detail animal studies.,no,"The abstract does not investigate TAAR1 agonists at all, but instead focuses on cannabinoids and their interaction with NMDAR systems.",no,"While the abstract discusses mechanisms related to psychosis, it does not measure the specific primary outcomes required (locomotor activity and PPI) or any of the secondary outcomes listed in the criteria.",no,"As this is a review paper, it does not describe specific control groups or experimental conditions.",no,"The abstract explicitly states this is a review paper, rather than a primary research study.",Exclude,"This review paper fundamentally does not meet the systematic review's screening criteria, as it lacks in vivo controlled experiments, does not investigate TAAR1 agonists, and fails to include animal models of psychosis with specific behavioral outcome measurements. The document is a theoretical review exploring cannabinoid and NMDAR system interactions, which diverges significantly from the required experimental research design and specific intervention parameters.",0.1
TAARs as Novel Therapeutic Targets for the Treatment of Depression: A Narrative Review of the Interconnection with Monoamines and Adult Neurogenesis,"T. Shemiakova, E. Efimova, R. Gainetdinov",10.3390/biomedicines12061263,https://doi.org/10.3390/biomedicines12061263,Biomedicines,8,2024,no,"This is a review paper, not an in vivo controlled experiment. The abstract explicitly states ""In this review, we discuss..."" and summarizes current evidence rather than presenting original experimental data.",no,"While the abstract mentions animal studies, it does not specifically describe research using animal models of psychosis. The focus is on depression and anxiety, not psychosis models.",no,"While TAAR1 agonists are discussed (specifically Ulotaront), the paper focuses on their use in depression/anxiety rather than psychosis. The paper appears to review TAAR1 and other TAARs as potential antidepressant targets, not as interventions in psychosis models.",no,"The abstract does not mention the primary outcomes required (locomotor activity and PPI of acoustic startle reflex). While it mentions ""emotional behaviors"" and neurobiological aspects like dopamine and serotonin systems, these are not the specific outcomes required.",no,"The abstract does not mention any specific control groups or experimental conditions. As this is a review paper, it likely discusses various studies but doesn't present original control group data.",no,"This is explicitly a review paper (""In this review, we discuss...""), not an original experimental study using animal models.",Exclude,"This review paper on trace amine-associated receptors (TAARs) in depression does not meet the systematic review's screening criteria, which specifically require original experimental research using animal models of psychosis. The manuscript focuses on potential antidepressant mechanisms and clinical evidence, but lacks the required experimental design, psychosis model, intervention specifications, and primary outcome measures needed for inclusion.",0.1
Microglial Activity in People at Ultra High Risk of Psychosis and in Schizophrenia: An [(11)C]PBR28 PET Brain Imaging Study.,"P. Bloomfield, S. Selvaraj, M. Veronese, G. Rizzo, A. Bertoldo, D. Owen, M. Bloomfield, I. Bonoldi, N. Kalk, F. Turkheimer, P. McGuire, V. de Paola, O. Howes",10.1176/appi.ajp.2015.14101358,https://doi.org/10.1176/appi.ajp.2015.14101358,American Journal of Psychiatry,403,2015,no,"The study is not an in vivo controlled experiment, but rather a human imaging study using PET scans. This clearly fails to meet the first criterion which specifically requires animal experiments.",no,"The study was conducted on human participants (ultra-high-risk individuals and schizophrenia patients), not on animal models of psychosis. There is no mention of any animal models or psychosis induction methods.",no,The study does not investigate any TAAR1 agonists or related compounds. It focuses on measuring microglial activity using [(11)C]PBR28 radioligand.,no,The study's primary outcome (microglial activity measured by PET binding ratio) does not match either of the co-primary outcomes specified in the criteria (locomotor activity and prepulse inhibition). None of the secondary outcomes specified in the criteria are measured in this study.,no,"While the study does include control groups (matched healthy subjects), these are human controls rather than the required animal model controls specified in the criteria.",no,"While this is original research, it is not an animal model study as required. It is a human subject research study.",Exclude,"This human subject research study fundamentally diverges from the systematic review's screening criteria, which specifically require animal models of psychosis, TAAR1 agonist interventions, and specific behavioral outcomes. The paper focuses on microglial activity in human participants using PET imaging, completely missing the required experimental design, animal models, interventions, and outcome measures outlined in the screening protocol.",0.1
Allosteric modulation of the muscarinic M4 receptor as an approach to treating schizophrenia,"W. Y. Chan, D. McKinzie, S. Bose, S. Mitchell, J. Witkin, R. Thompson, A. Christopoulos, S. Lazareno, N. J. Birdsall, F. Bymaster, Christian C. Felder",10.1073/pnas.0800567105,https://doi.org/10.1073/pnas.0800567105,Proceedings of the National Academy of Sciences of the United States of America,216,2008,maybe,"The abstract mentions ""animal models predictive of clinical antipsychotic drug efficacy"" but does not explicitly describe controlled experiments. While animal studies are mentioned, the level of experimental control is not clearly detailed.",maybe,"The abstract does not explicitly describe the induction of psychosis-like features or behaviors in the animal models. While it mentions ""animal models predictive of clinical antipsychotic drug efficacy,"" it does not specify the methods used to induce psychosis-like features.",no,"The study investigates LY2033298, which is described as a muscarinic M4 receptor modulator, not a TAAR1 agonist. This clearly fails to meet the criterion requiring TAAR1 agonist interventions.",maybe,"The abstract does not specifically mention the required co-primary outcomes (locomotor activity and PPI). While it mentions ""animal models predictive of clinical antipsychotic drug efficacy,"" the specific behavioral measures are not detailed.",maybe,"The abstract does not explicitly describe the control conditions used in the animal studies. While it mentions ""pharmacological assays,"" it does not detail the control groups.",yes,"This appears to be an original experimental study using animal models, meeting this criterion.",Exclude,"The study investigates a muscarinic M4 receptor modulator, which fundamentally differs from the required TAAR1 agonist intervention, rendering it ineligible for inclusion. Critical screening criteria related to experimental interventions, animal model characteristics, and specific outcome measures were not met, leading to exclusion from further review. The research focuses on a different pharmacological mechanism than the specified screening requirements.",1.4
Agonist-directed signaling of the serotonin 2A receptor depends on β-arrestin-2 interactions in vivo,"Cullen L. Schmid, Kirsten M. Raehal, L. Bohn",10.1073/pnas.0708862105,https://doi.org/10.1073/pnas.0708862105,Proceedings of the National Academy of Sciences of the United States of America,219,2008,maybe,"The study includes in vivo controlled experiments in mice, which meets the requirement for controlled experiments irrespective of design characteristics, language, publication year, and country.",maybe,"The abstract does not indicate that the mice used are ""animal models of psychosis"" that have undergone any method of induction of psychosis-like features or behaviors, such as administration of psychostimulants or NMDA antagonists.",no,"The study does not investigate compounds/medications acting as TAAR1 agonists. Instead, it focuses on serotonin (5-HT2AR) receptors and compares serotonin with DOI (a hallucinogenic amphetamine), which are excluded by the screening criteria.",no,"The study examines behavioral responses (head twitch response), but does not specifically measure the required co-primary outcomes of increased locomotor activity and prepulse inhibition (PPI).",no,"The abstract mentions comparisons between wild-type and β-arrestin-2 knockout mice, but these do not align with the required control interventions (vehicle controls or current antipsychotics in psychosis models).",yes,"This is an original experimental study using animal models, meeting this criterion.",Exclude,"The study investigates serotonin receptor mechanisms in mice, but does not meet critical screening criteria related to psychosis model induction, TAAR1 agonist interventions, specific control conditions, and required behavioral outcomes. Despite being a rigorous experimental study, the research falls short of the predefined systematic review inclusion parameters focused on TAAR1 agonists and psychosis models.",1.4
Cannabidiol as a Potential New Type of an Antipsychotic. A Critical Review of the Evidence,"J. A. Crippa, Jose M. Trigo, F. Leweke, Rohleder C, Müller Jk, Lange B, Cathrin Rohleder, Juliane K. Müller, B. Lange",10.3389/fphar.2016.00422,https://doi.org/10.3389/fphar.2016.00422,Frontiers in Pharmacology,85,2016,maybe,"The abstract mentions animal studies but does not clearly specify if they were controlled experiments. While it references ""behavioral paradigms"" and ""experimental conditions,"" the level of control is not explicitly stated, so there is uncertainty about whether this criterion is met.",no,"The abstract mentions studies in ""rodents and rhesus monkeys"" but critically does not mention that these were models of psychosis. It does not describe any method of psychosis induction, which is a key requirement, so this is a major issue for inclusion.",no,"The study focuses on cannabidiol, not TAAR1 agonists. This clearly fails to meet the intervention criterion as cannabidiol is not mentioned as a TAAR1 agonist. The mechanism discussed relates to anandamide levels, not TAAR1 activity.",no,"The abstract does not specify whether it measured the co-primary outcomes of locomotor activity and PPI. While it mentions ""behavioral paradigms,"" the specific required measures are not detailed. Secondary outcomes are also not clearly described.",maybe,"While the abstract mentions comparison to amisulpride in clinical trials, it does not clearly describe the control conditions in the animal studies. However, this is less relevant since the intervention criterion is not met.",no,"While the abstract discusses experimental studies, it appears to be a review of various studies rather than an original experimental study. It summarizes findings from multiple sources and ongoing clinical trials.",Exclude,"The abstract focuses on cannabidiol's potential antipsychotic properties, examining studies in rodents and primates, but fails to meet critical screening criteria including the requirement for TAAR1 agonist interventions and clear psychosis model induction. Lacking specific details about experimental design, control conditions, and primary outcome measures, the study does not align with the predefined screening requirements for inclusion.",0.1
Trace amine-associated receptor 1: a multimodal therapeutic target for neuropsychiatric diseases,"M. Schwartz, J. Canales, R. Zucchi, S. Espinoza, I. Sukhanov, R. Gainetdinov",10.1080/14728222.2018.1480723,https://doi.org/10.1080/14728222.2018.1480723,Expert opinion on therapeutic targets,53,2018,no,"The abstract does not describe any specific in vivo controlled experiments, and instead appears to be a review/overview of TAAR1 research. This suggests the study does not include the required in vivo controlled experiments.",no,The abstract does not specifically describe animal models of psychosis or their induction methods. There is no clear indication that the paper includes primary research with animal models of psychosis.,no,"The abstract mentions ""TAAR1-selective small-molecule ligands"" and ""synthetic TAAR1 ligands"" but does not specifically describe experimental interventions testing TAAR1 agonists. It appears to be reviewing various TAAR1-related studies rather than presenting primary experimental data.",no,"While the abstract discusses dopaminergic, serotonin, and glutamate signaling, it does not specifically mention the primary outcomes of interest (locomotor activity and PPI) or the secondary outcomes listed in the criteria.",no,"No control interventions are described in the abstract, which is consistent with this being a review rather than an experimental study.",no,"This appears to be a review article (""Areas covered,"" ""Expert opinion"") rather than primary experimental research.",Exclude,"The abstract represents a review of trace amine-associated receptor 1 (TAAR1) research, lacking the required experimental design, animal model of psychosis, specific interventions, control groups, and primary outcomes specified in the screening criteria. As a narrative overview rather than an original experimental study, the text does not meet the systematic review's fundamental methodological requirements for inclusion.",0.1
International Union of Pharmacology. LXXII. Recommendations for Trace Amine Receptor Nomenclature,"J. Maguire, William A. E. Parker, S. Foord, T. Bonner, R. Neubig, A. Davenport",10.1124/pr.109.001107,https://doi.org/10.1124/pr.109.001107,Pharmacological Reviews,57,2009,no,"The abstract does not describe any in vivo controlled experiments, indicating that this is a review paper rather than an original experimental study.",no,The abstract does not describe any experimental animal models of psychosis or methods of psychosis induction.,no,"While the abstract discusses TAAR1 and mentions that some drugs act as agonists, it does not describe any experimental interventions testing TAAR1 agonists.",no,"The abstract does not report any of the primary outcomes (locomotor activity or PPI) or secondary outcomes listed in the criteria, such as behavioral measures, dropouts, adverse events, or neurobiological measures.",no,"The abstract does not mention any control groups or experimental comparisons, as it is not an experimental study.",no,"This paper is explicitly a review paper, not an original experimental study.",Exclude,"The abstract is a comprehensive review of trace amine-associated receptor 1 (TAAR1), discussing its genetic characteristics, potential ligands, and nomenclature across different species. No experimental data, animal models of psychosis, intervention testing, control groups, or primary/secondary outcomes are presented, rendering the text ineligible for the systematic review based on the specified screening criteria. The paper is a theoretical overview rather than an original experimental study.",0.1
TAAR1 in Addiction: Looking Beyond the Tip of the Iceberg,"Jian-Feng Liu, Jun-Xu Li",10.3389/fphar.2018.00279,https://doi.org/10.3389/fphar.2018.00279,Frontiers in Pharmacology,37,2018,no,The abstract does not explicitly describe any specific in vivo controlled experiments. It appears to be more of a review of various studies rather than reporting a specific controlled experiment.,no,The abstract doesn't explicitly describe using animal models of psychosis or specific methods of psychosis induction. There's no mention of psychostimulants or NMDA antagonists being used to induce psychosis-like features.,maybe,"The abstract mentions TAAR1 agonists, which aligns with this criterion. However, it focuses on their effects on drug abuse rather than psychosis, and doesn't specify particular compounds or compare them with current antipsychotics.",no,"The outcomes described in the abstract (drug abuse-related behaviors and dopamine accumulation) don't align with the required primary outcomes of locomotor activity and prepulse inhibition (PPI). While some neurobiological measures are mentioned (dopamine transmission), they're not presented in the context required by the criteria.",no,The abstract doesn't describe any specific control groups or experimental conditions that would match the required control interventions. There's no mention of vehicle controls or comparison with current antipsychotics.,no,"Based on the language and structure of the abstract, this appears to be a review paper rather than an original experimental study. Phrases like ""Evidence from... studies"" and the broad overview nature suggest this is a summary of existing research.",Exclude,"The abstract focuses on TAAR1's role in dopaminergic systems and drug abuse, lacking specific details about animal models of psychosis, controlled experimental design, and required outcome measures. While discussing TAAR1 agonists, the paper appears to be a review rather than an original experimental study, and does not align with the specified screening criteria for psychosis research. The content primarily explores neurochemical interactions related to drug addiction, diverging significantly from the targeted research parameters.",1.4
Muscarinic receptors: do they have a role in the pathology and treatment of schizophrenia?,"E. Scarr, B. Dean",10.1111/j.1471-4159.2008.05711.x,https://doi.org/10.1111/j.1471-4159.2008.05711.x,Journal of Neurochemistry,100,2008,no,"The paper is a review paper, not an in vivo controlled experiment, and therefore does not meet the study design criterion.",no,"The paper discusses muscarinic receptor knockout mice, but does not describe specific psychosis model induction methods. The mice are mentioned as reference points for understanding receptor function, not as experimental subjects in a psychosis model.",no,"The paper focuses on muscarinic receptors and cholinergic modulation, not TAAR1 agonists. There is no mention of TAAR1-related compounds or interventions.",no,"While the paper discusses broader aspects of schizophrenia, it does not report on the specific primary outcomes required (locomotor activity and PPI) or the listed secondary outcomes. No experimental outcomes are presented.",no,"The paper does not describe any specific control groups or experimental conditions, as it is a review paper.",no,"This is explicitly a review paper, not an original experimental study.",Exclude,"This review paper on muscarinic receptors and schizophrenia does not meet the systematic review's screening criteria, primarily because it is not an original experimental study using animal models of psychosis. The manuscript lacks the required experimental design, TAAR1 agonist interventions, and specific behavioral outcomes necessary for inclusion in the review.",0.1
Biological Mechanisms Whereby Social Exclusion May Contribute to the Etiology of Psychosis: A Narrative Review,"J. Selten, J. Booij, B. Buwalda, A. Meyer-Lindenberg",10.1093/schbul/sbw180,https://doi.org/10.1093/schbul/sbw180,Schizophrenia bulletin,63,2017,no,"The paper is a review paper, not an original experimental study with in vivo controlled experiments. The abstract explicitly states that the purpose is to examine findings from other studies rather than presenting original experimental data.",no,"While the paper discusses animal models (resident-intruder paradigm), it is doing so in the context of reviewing existing literature rather than conducting original research. The animal models mentioned are not specifically focused on TAAR1-related interventions.",no,"The paper does not investigate TAAR1 agonists. It focuses on social exclusion, dopamine hypothesis, and neurodevelopmental hypothesis. There is no mention of TAAR1-related compounds or interventions.",no,"The paper does not specifically measure the required co-primary outcomes (locomotor activity and PPI). While it discusses dopamine release and brain changes, these are not the specific behavioral measures required by the criteria.",no,"While the paper discusses some control conditions in the context of reviewing other studies, it is not conducting original experiments with the specific control interventions required by the criteria.",no,"This is explicitly a review paper, not an original experimental study using animal models.",Exclude,"This review paper fails to meet multiple critical screening criteria, including the requirement for original experimental research with TAAR1 agonists and specific behavioral outcome measurements. The manuscript is a literature review examining social exclusion and psychosis mechanisms, which fundamentally differs from the systematic review's targeted experimental study design. Consequently, the paper does not qualify for inclusion based on the predefined screening criteria.",0.1
Long-term consequences of adolescent cannabinoid exposure in adult psychopathology,"Justine Renard, M. Krebs, G. Le Pen, T. Jay",10.3389/fnins.2014.00361,https://doi.org/10.3389/fnins.2014.00361,Frontiers in Neuroscience,109,2014,no,"The abstract discusses both human and animal studies but does not explicitly describe controlled experiments. While it mentions ""animal studies,"" it is primarily a review paper looking at the relationship between cannabinoid exposure and neuropsychiatric disorders.",no,"While the paper involves animals, it does not appear to use specific ""animal models of psychosis."" The focus is on cannabinoid exposure during adolescence, not on established methods of psychosis induction like psychostimulants or NMDA antagonists.",no,"The paper focuses on CB1R agonists (THC, CP-55,940, and WIN55,212-2) and not TAAR1 agonists. This clearly fails to meet the intervention criterion as it studies a completely different pharmacological mechanism.",no,"While the paper looks at behavioral and neurobiological outcomes, it does not specifically mention the required co-primary outcomes (locomotor activity and PPI of acoustic startle reflex). The outcomes appear to be more general cognitive and behavioral measures.",no,"The abstract does not mention specific control groups or conditions, so it cannot be determined if appropriate control interventions were used.",no,"The abstract explicitly states this is a review paper (""Here, we review..."") rather than an original experimental study.",Exclude,"The abstract describes a review paper examining marijuana's effects on adolescent brain development, which fundamentally differs from the systematic review's specific criteria involving TAAR1 agonists and animal psychosis models. Critical deviations include being a review rather than an experimental study, focusing on different pharmacological mechanisms, and not employing the required experimental and outcome specifications. Consequently, the paper does not meet the established screening criteria for inclusion.",0.1
"Discovery and Characterization of 2-Aminooxazolines as Highly Potent, Selective, and Orally Active TAAR1 Agonists.","G. Galley, Angélica Beurier, Guillaume Décoret, Annick Goergler, Roman Hutter, S. Mohr, A. Pähler, P. Schmid, D. Türck, R. Unger, K. G. Zbinden, M. Hoener, R. Norcross",10.1021/acsmedchemlett.5b00449,https://doi.org/10.1021/acsmedchemlett.5b00449,ACS Medicinal Chemistry Letters,38,2016,maybe,"The abstract mentions ""in vivo activity in animal models"" which suggests controlled experiments, though the specific design characteristics are not detailed. This creates some uncertainty, though the mention of in vivo studies is promising.",maybe,"While the abstract mentions ""animal models relevant for psychiatric diseases,"" it doesn't specifically state whether these are psychosis models or how they were induced. This is a significant source of uncertainty as the specific psychosis model requirements cannot be confirmed.",yes,"The study clearly focuses on TAAR1 ligands (compounds 12, 18, 36, and 48) and their development. These appear to be novel TAAR1 agonists, which aligns well with this criterion.",maybe,"While the abstract mentions ""in vivo activity,"" it doesn't specify whether they measured the required co-primary outcomes (locomotor activity and PPI) or any of the secondary outcomes. This creates substantial uncertainty.",no,The abstract provides no information about control groups or comparison conditions. This is a significant limitation in assessing eligibility.,yes,"This appears to be an original experimental study developing and testing novel TAAR1 ligands, meeting this criterion.",Include,"The study describes novel TAAR1 ligands with in vivo activity in animal models related to psychiatric diseases, demonstrating potential experimental relevance. However, significant uncertainties exist regarding specific psychosis model characteristics, control interventions, and precise outcome measurements. Further full-text review would be necessary to definitively confirm alignment with all screening criteria.",3.4
"The Underlying Neurobiological Mechanisms of Psychosis: Focus on Neurotransmission Dysregulation, Neuroinflammation, Oxidative Stress, and Mitochondrial Dysfunction","Neha S. Rawani, Allen W. Chan, S. Dursun, Glen B. Baker",10.3390/antiox13060709,https://doi.org/10.3390/antiox13060709,Antioxidants,18,2024,no,"The paper is a review paper rather than an in vivo controlled experimental study, which fails this critical criterion.",no,"The abstract does not mention any animal models or experimental work, so the paper does not involve animal models of psychosis.",no,"While the paper discusses various neurotransmitters and potential pharmacotherapies, it does not specifically investigate TAAR1 agonists.",no,"The paper does not measure specific behavioral outcomes like locomotor activity or PPI, but instead reviews general neurobiological mechanisms and potential biomarkers.",no,"As this is a review paper, it does not describe specific control groups or experimental conditions.",no,"This is explicitly a review paper, not an original experimental study using animal models.",Exclude,"This review paper fails multiple critical screening criteria, including the requirement for an in vivo experimental study with animal models of psychosis. The abstract describes a literature review of neurobiological mechanisms in psychosis, lacking the specific experimental design, interventions, and outcomes mandated by the screening criteria. Consequently, the paper does not meet the fundamental requirements for inclusion in the systematic review.",0.1
"Multiple risk pathways for schizophrenia converge in serine racemase knockout mice, a mouse model of NMDA receptor hypofunction","D. Balu, Yan Li, M. Puhl, M. Benneyworth, A. Basu, S. Takagi, V. Bolshakov, J. Coyle",10.1073/pnas.1304308110,https://doi.org/10.1073/pnas.1304308110,Proceedings of the National Academy of Sciences of the United States of America,190,2013,yes,"The study includes in vivo controlled experiments using mice, which meets the criterion for in vivo controlled experiments.",yes,"The study uses serine racemase-deficient (SR−/−) mice as a model of NMDA receptor hypofunction, which is a valid animal model of psychosis.",no,"The study investigates d-serine treatment, which is not a TAAR1 agonist. The intervention focuses on NMDA receptor function through d-serine supplementation, which fails to meet the criterion requiring TAAR1 agonist interventions.",no,"The study measures cognitive deficits and neurobiological measures, but does not specifically measure the required co-primary outcomes of locomotor activity and PPI. While it includes behavioral measures, they don't match the specific required outcomes.",maybe,"The study includes appropriate control conditions, comparing SR−/− mice with and without d-serine treatment. However, these controls are not specifically testing TAAR1 agonists versus vehicle or current antipsychotics as required by the criteria.",yes,"This is an original experimental study using animal models, meeting this criterion.",Exclude,"The study uses a mouse model of NMDA receptor hypofunction to investigate schizophrenia-related mechanisms, but fails to meet specific screening criteria related to TAAR1 agonist interventions and required behavioral outcomes. While the research is a rigorous experimental study, it does not align with the precise methodological requirements for inclusion, particularly regarding intervention type and primary outcome measures.",1.4
Questioning the role of palmitoylethanolamide in psychosis: a systematic review of clinical and preclinical evidence,"R. Bortoletto, F. Piscitelli, Anna Candolo, S. Bhattacharyya, M. Balestrieri, M. Colizzi",10.3389/fpsyt.2023.1231710,https://doi.org/10.3389/fpsyt.2023.1231710,Frontiers in Psychiatry,8,2023,maybe,"The abstract mentions 2 animal studies but does not explicitly state if they were controlled experiments. While this is likely, there is insufficient information to confirm the study design meets the criteria.",maybe,"The abstract mentions ""preclinical psychosis model,"" but it does not specify how psychosis-like features were induced in the animals. This is a critical missing detail that creates significant uncertainty about whether the animal models meet the inclusion criteria.",no,"The study investigates palmitoylethanolamide (PEA), which is not mentioned as a TAAR1 agonist in the criteria. The abstract suggests it works through the endocannabinoid system, making it likely ineligible under this criterion.",maybe,"The abstract does not mention the primary outcomes specified in the criteria (locomotor activity and PPI). While it mentions ""biobehavioral role,"" specific behavioral measures are not detailed. It does mention some secondary outcomes like adverse events, but this alone is not sufficient.",maybe,The abstract does not provide any information about control groups in the animal studies. It cannot be determined if appropriate controls were used.,yes,"The paper includes original experimental animal studies, though they are only 2 out of 13 studies reviewed, with the majority being human studies.",Exclude,"The systematic review primarily focuses on palmitoylethanolamide (PEA) and psychosis, with limited animal studies that lack clear details about psychosis model induction and primary behavioral outcomes. The intervention mechanism appears inconsistent with the specified TAAR1 agonist criteria, and the study's design raises significant questions about meeting the comprehensive screening requirements for animal model research in psychosis.",1.4
Recent evidence and potential mechanisms underlying weight gain and insulin resistance due to atypical antipsychotics.,"A. M. Volpato, A. Zugno, J. Quevedo",10.1590/1516-4446-2012-1052,https://doi.org/10.1590/1516-4446-2012-1052,Revista Brasileira de Psiquiatria,29,2013,no,"The paper is a systematic review, not an original experimental study with in vivo controlled experiments. It does not present primary experimental data.",no,"The paper mentions rodent studies but does not specifically focus on animal models of psychosis. Instead, it examines metabolic effects of antipsychotics. There is no mention of psychosis-like features induction methods.",no,"The paper focuses on atypical antipsychotics (specifically olanzapine and clozapine), not TAAR1 agonists. There is no mention of TAAR1-related compounds or interventions.",no,"The outcomes discussed (body weight, adiposity, lipid profile, blood glucose levels) do not match the required primary outcomes (locomotor activity and PPI) or secondary outcomes. The focus is entirely on metabolic parameters.",no,"The abstract does not specify the control conditions used in the studies reviewed. While it mentions comparing effects between humans and rodents, it does not detail the specific control groups required by the criteria.",no,"This is explicitly a systematic review, not an original experimental study, which fails this criterion.",Exclude,"This systematic review of atypical antipsychotics focuses on metabolic side effects in humans and rodents, lacking the required experimental design, psychosis model induction, TAAR1 agonist interventions, and behavioral outcomes specified in the screening criteria. The paper fundamentally differs from the targeted research type, with its metabolic focus and review methodology disqualifying it from meeting the established screening requirements.",0.1
Relationship between Glutamate Dysfunction and Symptoms and Cognitive Function in Psychosis,"K. Merritt, P. McGuire, A. Egerton",10.3389/fpsyt.2013.00151,https://doi.org/10.3389/fpsyt.2013.00151,Frontiers in Psychiatry,89,2013,no,"The abstract does not describe an in vivo controlled experiment. It appears to be a review of 1H-MRS studies in human clinical samples, which fails to meet the requirement for in vivo controlled experiments.",no,"The abstract discusses human studies using 1H-MRS to measure glutamate levels in clinical samples. There is no mention of animal models or psychosis induction methods, which fails to meet the requirement for animal models of psychosis.",no,"The abstract does not investigate TAAR1 agonists or their effects. It focuses on the glutamatergic system and NMDA receptors, which fails to meet the requirement for studies investigating TAAR1 agonists.",no,"The abstract does not measure the specific primary outcomes required (locomotor activity and PPI of acoustic startle reflex) or the listed secondary outcomes. The measurements are focused on glutamate levels using 1H-MRS, which fails to meet the requirement for the specified outcomes.",no,"No control interventions are described in the abstract as this is not an experimental study, which fails to meet the requirement for control interventions.",no,"This appears to be a review paper rather than an original experimental study, which fails to meet the requirement for primary research type.",Exclude,"This review paper focuses on human glutamate studies using magnetic resonance spectroscopy, examining schizophrenia's neurochemical mechanisms. The manuscript does not involve animal models, experimental interventions with TAAR1 agonists, or the specified behavioral outcomes required by the screening criteria. Consequently, the abstract fails to meet the systematic review's inclusion requirements across all specified screening dimensions.",0.1
